Start Date,Week,Boardings
2022-01-03,1,248779
2022-01-10,2,384142
2022-01-17,3,396384
2022-01-24,4,439561
2022-01-31,5,450357
2022-02-07,6,460728
2022-02-14,7,460326
2022-02-21,8,394753
2022-02-28,9,488701
2022-03-07,10,488256
2022-03-14,11,484796
2022-03-21,12,445601
